Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
8/6/2025,OPT,PSE,Gaza Strip,"31,4591","34,3923",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Artillery,Food Production,Damage/Destruction Of Food-Related Equipment,105651,5/7/2025,5/7/2025
8/6/2025,OPT,PSE,Gaza Strip,"31,30576181","34,24116582",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107469,10/7/2025,10/7/2025
8/6/2025,OPT,PSE,Gaza Strip,"31,4851626","34,4146933",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107473,10/7/2025,15/7/2025
8/6/2025,OPT,PSE,Gaza Strip,"31,2752047","34,2558269",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107517,12/7/2025,12/7/2025
8/6/2025,OPT,PSE,Gaza Strip,"31,45733159","34,41208722",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107519,12/7/2025,13/7/2025
7/6/2025,OPT,PSE,Gaza Strip,"31,4394","34,4031",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,"Food Supply, Food Production","Damage/Destruction Of Food-Related Equipment, Damage/Destruction Of Commercial Food Transport",105644,5/7/2025,5/7/2025
21/6/2025,OPT,PSE,Gaza Strip,"31,4988","34,4699",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Violence Affecting Marketgoers, Attack On a Market/Restaurant/Supermarket/Bakery",114085,26/8/2025,26/8/2025
7/6/2025,OPT,PSE,Gaza Strip,"31,2752047","34,2558269",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,"Food Supply, Aid Systems, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Commercial Food Transport, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107516,12/7/2025,13/7/2025
7/6/2025,OPT,PSE,Gaza Strip,"31,31214294","34,24507155","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",113013,15/8/2025,16/8/2025
5/6/2025,OPT,PSE,Gaza Strip,"31,5245","34,4326",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,105634,5/7/2025,6/8/2025
